file_name,pitch(Hz),voice,syllable,id,audio_file,audio_file_path,transcription
Alto2_Ah_1,147.1424236641514,Alto2,Ah,1,Alto2_Ah_1.wav,Vocals/Alto2/Ah/Alto2_Ah_1.wav,
Alto2_Ah_2,155.982552854173,Alto2,Ah,2,Alto2_Ah_2.wav,Vocals/Alto2/Ah/Alto2_Ah_2.wav,Buzzer
Alto2_Ah_3,165.24799339454222,Alto2,Ah,3,Alto2_Ah_3.wav,Vocals/Alto2/Ah/Alto2_Ah_3.wav,
Alto2_Ah_4,174.99602701235813,Alto2,Ah,4,Alto2_Ah_4.wav,Vocals/Alto2/Ah/Alto2_Ah_4.wav,
Alto2_Ah_5,185.86793247918553,Alto2,Ah,5,Alto2_Ah_5.wav,Vocals/Alto2/Ah/Alto2_Ah_5.wav,
Alto2_Ah_6,195.51011645987907,Alto2,Ah,6,Alto2_Ah_6.wav,Vocals/Alto2/Ah/Alto2_Ah_6.wav,
Alto2_Ah_7,207.16950420728497,Alto2,Ah,7,Alto2_Ah_7.wav,Vocals/Alto2/Ah/Alto2_Ah_7.wav,
Alto2_Ah_8,219.3787226427826,Alto2,Ah,8,Alto2_Ah_8.wav,Vocals/Alto2/Ah/Alto2_Ah_8.wav,
Alto2_Ah_9,232.28526030153412,Alto2,Ah,9,Alto2_Ah_9.wav,Vocals/Alto2/Ah/Alto2_Ah_9.wav,Hmm
Alto2_Ah_10,246.29644205585245,Alto2,Ah,10,Alto2_Ah_10.wav,Vocals/Alto2/Ah/Alto2_Ah_10.wav,
Alto2_Ah_11,261.7124616364092,Alto2,Ah,11,Alto2_Ah_11.wav,Vocals/Alto2/Ah/Alto2_Ah_11.wav,Hmm
Alto2_Ah_12,277.15019788930323,Alto2,Ah,12,Alto2_Ah_12.wav,Vocals/Alto2/Ah/Alto2_Ah_12.wav,
Alto2_Ah_13,292.6818077874132,Alto2,Ah,13,Alto2_Ah_13.wav,Vocals/Alto2/Ah/Alto2_Ah_13.wav,
Alto2_Ah_14,310.043261393145,Alto2,Ah,14,Alto2_Ah_14.wav,Vocals/Alto2/Ah/Alto2_Ah_14.wav,
Alto2_Ah_15,329.54707073885237,Alto2,Ah,15,Alto2_Ah_15.wav,Vocals/Alto2/Ah/Alto2_Ah_15.wav,
Alto2_Ah_16,349.3338245406462,Alto2,Ah,16,Alto2_Ah_16.wav,Vocals/Alto2/Ah/Alto2_Ah_16.wav,
Alto2_Ah_17,368.6665185284001,Alto2,Ah,17,Alto2_Ah_17.wav,Vocals/Alto2/Ah/Alto2_Ah_17.wav,
Alto2_Ah_18,391.0278955559391,Alto2,Ah,18,Alto2_Ah_18.wav,Vocals/Alto2/Ah/Alto2_Ah_18.wav,Mmm
Alto2_Ah_19,415.305,Alto2,Ah,19,Alto2_Ah_19.wav,Vocals/Alto2/Ah/Alto2_Ah_19.wav,Oh
Alto2_Ah_20,437.12301251676,Alto2,Ah,20,Alto2_Ah_20.wav,Vocals/Alto2/Ah/Alto2_Ah_20.wav,
Alto2_Ah_21,463.670598119264,Alto2,Ah,21,Alto2_Ah_21.wav,Vocals/Alto2/Ah/Alto2_Ah_21.wav,
Alto2_Ah_22,491.244013215614,Alto2,Ah,22,Alto2_Ah_22.wav,Vocals/Alto2/Ah/Alto2_Ah_22.wav,Oh
Alto2_Ah_23,522.184723453248,Alto2,Ah,23,Alto2_Ah_23.wav,Vocals/Alto2/Ah/Alto2_Ah_23.wav,Oh
Alto2_Ah_24,553.393984327338,Alto2,Ah,24,Alto2_Ah_24.wav,Vocals/Alto2/Ah/Alto2_Ah_24.wav,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
Alto2_Ah_25,586.597426568242,Alto2,Ah,25,Alto2_Ah_25.wav,Vocals/Alto2/Ah/Alto2_Ah_25.wav,Oh
Alto2_Ah_26,621.145200791434,Alto2,Ah,26,Alto2_Ah_26.wav,Vocals/Alto2/Ah/Alto2_Ah_26.wav,Oh
Alto2_Ah_27,656.744006122322,Alto2,Ah,27,Alto2_Ah_27.wav,Vocals/Alto2/Ah/Alto2_Ah_27.wav,Hoo!
Alto2_Ah_28,695.267382351894,Alto2,Ah,28,Alto2_Ah_28.wav,Vocals/Alto2/Ah/Alto2_Ah_28.wav,Oh
Alto2_Ah_29,736.898312620066,Alto2,Ah,29,Alto2_Ah_29.wav,Vocals/Alto2/Ah/Alto2_Ah_29.wav,Oh
Alto2_Ah_30,781.3526773198,Alto2,Ah,30,Alto2_Ah_30.wav,Vocals/Alto2/Ah/Alto2_Ah_30.wav,Oh
Alto2_Eh_1,146.92111325217562,Alto2,Eh,1,Alto2_Eh_1.wav,Vocals/Alto2/Eh/Alto2_Eh_1.wav,Buzzer
Alto2_Eh_2,155.67687565532725,Alto2,Eh,2,Alto2_Eh_2.wav,Vocals/Alto2/Eh/Alto2_Eh_2.wav,
Alto2_Eh_3,164.8833922818614,Alto2,Eh,3,Alto2_Eh_3.wav,Vocals/Alto2/Eh/Alto2_Eh_3.wav,Buzzer
Alto2_Eh_4,174.63420077632975,Alto2,Eh,4,Alto2_Eh_4.wav,Vocals/Alto2/Eh/Alto2_Eh_4.wav,Buzzer
Alto2_Eh_5,184.91803260207467,Alto2,Eh,5,Alto2_Eh_5.wav,Vocals/Alto2/Eh/Alto2_Eh_5.wav,
Alto2_Eh_6,196.03219105275025,Alto2,Eh,6,Alto2_Eh_6.wav,Vocals/Alto2/Eh/Alto2_Eh_6.wav,Eh.
Alto2_Eh_7,207.11495059061713,Alto2,Eh,7,Alto2_Eh_7.wav,Vocals/Alto2/Eh/Alto2_Eh_7.wav,
Alto2_Eh_8,219.6884050764364,Alto2,Eh,8,Alto2_Eh_8.wav,Vocals/Alto2/Eh/Alto2_Eh_8.wav,Eh.
Alto2_Eh_9,232.18855313277408,Alto2,Eh,9,Alto2_Eh_9.wav,Vocals/Alto2/Eh/Alto2_Eh_9.wav,Bye.
Alto2_Eh_10,245.99344413162137,Alto2,Eh,10,Alto2_Eh_10.wav,Vocals/Alto2/Eh/Alto2_Eh_10.wav,Eh.
